Date,start_time_DI,last_event_DI
2013-04-19,24,29
2013-04-18,17,33
2013-04-11,27,36
2013-04-10,21,34
2013-04-13,40,49
2013-09-02,0,41
2013-09-05,2,42
2013-04-14,24,40
2013-09-07,0,58
2013-04-16,23,34
2013-02-13,37,37
2013-02-12,33,54
2013-02-11,41,16
2013-02-10,30,1
2012-09-22,183,240
2013-02-16,38,38
2012-09-20,225,258
2012-09-21,234,318
2012-09-19,259,280
2012-12-29,2,48
2013-07-14,45,50
2013-07-15,54,48
2013-07-16,73,58
2013-07-17,52,54
2013-01-05,33,91
2013-07-11,57,49
2013-01-07,41,267
2013-07-13,46,47
2013-01-09,51,153
2013-01-08,28,387
2013-07-18,0,31
2012-09-15,336,336
2012-12-25,1,36
2012-09-13,405,392
2012-09-12,498,397
2013-09-01,0,41
2012-09-11,390,208
2012-09-10,445,1
2013-09-03,0,42
2013-03-10,36,45
2013-03-11,36,46
2013-03-12,43,63
2013-04-12,12,25
2013-03-14,38,50
2013-03-15,28,54
2013-03-16,29,55
2013-03-17,23,45
2013-03-18,38,54
2013-04-15,27,34
2013-09-04,0,46
2013-04-17,21,31
2013-09-06,0,55
2012-09-30,172,296
2013-03-30,44,86
2012-12-18,65,66
2013-08-20,0,21
2013-08-21,0,30
2013-08-22,0,44
2013-08-23,0,14
2013-08-24,0,22
2013-08-25,0,27
2013-08-26,0,24
2013-08-27,1,31
2013-08-28,0,27
2013-08-29,0,86
2012-08-03,131,37
2012-08-02,138,44
2012-08-01,140,50
2012-08-07,174,56
2012-08-06,129,48
2012-08-05,104,22
2012-08-04,102,43
2012-08-09,148,41
2012-08-08,143,36
2013-03-08,38,33
2012-12-01,58,54
2012-12-02,49,58
2012-12-03,75,85
2012-12-04,68,74
2012-12-05,172,157
2012-12-06,83,102
2012-12-07,66,85
2012-12-08,64,58
2012-12-09,74,84
2012-10-31,74,94
2012-10-30,81,113
2013-06-30,49,49
2012-11-29,51,65
2012-11-28,58,68
2012-11-27,57,75
2012-11-26,72,67
2012-11-25,55,54
2012-11-24,52,67
2012-11-23,41,47
2012-11-22,59,73
2012-11-21,64,65
2012-11-20,61,62
2013-04-28,43,53
2013-04-29,42,49
2013-04-24,30,37
2013-04-25,35,46
2013-04-26,27,43
2013-04-27,35,35
2013-04-20,20,26
2013-04-21,20,30
2013-04-22,24,28
2013-04-23,42,47
2013-05-30,60,55
2013-05-31,40,52
2013-01-01,1,40
2013-07-09,53,53
2013-07-08,47,43
2013-07-03,57,54
2013-07-02,47,69
2013-07-01,61,60
2013-07-07,50,48
2013-07-06,41,41
2013-07-05,50,55
2013-07-04,45,43
2013-01-02,4,64
2013-01-30,31,85
2013-01-31,47,89
2013-07-10,52,55
2012-08-30,299,87
2012-08-31,259,71
2013-01-04,38,125
2013-07-12,49,45
2013-01-06,30,84
2013-03-07,27,45
2013-03-06,31,33
2013-03-05,40,59
2013-03-04,36,37
2013-03-03,37,29
2013-03-02,25,33
2013-03-01,42,39
2013-03-09,27,41
2013-07-19,0,32
2012-11-16,47,58
2012-11-17,66,65
2012-11-14,62,75
2012-11-15,55,60
2012-11-12,0,42
2012-11-13,17,31
2012-11-10,0,31
2012-11-11,0,45
2012-11-18,67,55
2012-11-19,69,67
2012-09-08,378,2
2012-09-09,654,3
2012-09-01,209,58
2012-09-02,239,63
2012-09-03,396,89
2012-09-04,1138,299
2012-09-05,1269,1270
2012-09-06,767,1248
2012-09-07,491,4
2012-10-08,177,264
2012-10-09,180,299
2012-10-02,290,278
2012-10-03,738,637
2012-10-01,225,317
2012-10-06,221,268
2012-10-07,183,328
2012-10-04,450,395
2012-10-05,288,305
2013-01-03,38,156
2013-08-31,0,48
2013-08-30,0,58
2013-03-13,37,74
2012-07-28,196,62
2012-07-29,285,104
2012-07-23,1,0
2012-07-24,555,141
2012-07-25,380,125
2012-07-26,269,87
2012-07-27,196,71
2013-07-30,0,41
2013-07-31,0,38
2013-03-19,29,47
2012-12-17,76,73
2012-12-16,42,56
2012-12-15,58,60
2012-12-14,65,64
2012-12-13,60,60
2012-12-12,63,66
2012-12-11,53,54
2012-12-10,76,71
2012-12-19,56,61
2013-03-31,35,60
2013-06-01,54,46
2013-06-02,56,52
2013-06-03,48,54
2013-06-04,63,55
2013-06-05,62,50
2013-06-06,78,71
2013-06-07,64,73
2013-06-08,55,51
2013-06-09,44,46
2013-02-08,28,0
2013-02-09,20,0
2013-02-04,48,65
2013-02-05,37,84
2013-02-06,37,46
2013-02-07,28,0
2013-02-01,46,93
2013-02-02,38,73
2013-02-03,28,50
2013-04-30,38,56
2013-05-29,35,43
2013-05-28,60,46
2013-05-27,44,48
2013-05-26,45,43
2013-05-25,39,30
2013-05-24,41,34
2013-05-23,47,53
2013-05-22,65,47
2013-05-21,69,60
2013-05-20,41,52
2013-08-08,0,25
2013-08-09,0,22
2013-08-06,0,23
2013-08-07,0,23
2013-08-04,0,19
2013-08-05,0,23
2013-08-02,0,25
2013-08-03,0,19
2013-08-01,0,31
2013-01-29,39,106
2013-01-28,47,61
2013-01-23,86,239
2013-01-22,50,72
2013-01-21,33,70
2013-01-20,44,65
2013-01-27,37,63
2013-01-26,28,57
2013-01-25,34,103
2013-01-24,77,107
2012-08-29,252,65
2012-08-28,303,93
2012-08-21,474,163
2012-08-20,517,188
2012-08-23,323,89
2012-08-22,388,153
2012-08-25,224,66
2012-08-24,335,105
2012-08-27,312,72
2012-08-26,274,78
2013-07-21,0,16
2013-07-20,0,18
2013-01-10,53,140
2013-07-22,0,21
2013-07-25,0,32
2013-07-24,0,31
2012-11-05,16,60
2012-11-04,54,95
2012-11-07,0,41
2012-11-06,0,53
2012-11-01,58,84
2013-07-27,0,20
2012-11-03,73,87
2012-11-02,78,91
2013-07-26,0,41
2012-11-09,0,33
2012-11-08,0,29
2012-12-28,2,51
2012-09-18,207,284
2012-09-17,263,386
2012-09-16,364,486
2012-12-24,2,95
2012-09-14,388,334
2012-12-22,6,128
2012-12-23,6,179
2012-12-20,4,105
2012-12-21,6,127
2013-05-16,36,41
2013-05-17,37,45
2013-05-14,35,42
2013-05-15,36,46
2013-05-12,30,45
2013-05-13,34,47
2013-05-10,36,42
2013-05-11,34,33
2013-05-18,31,47
2013-05-19,52,54
2012-10-19,138,145
2012-10-18,110,148
2012-10-11,166,210
2012-10-10,147,300
