Date,start_time_DI,last_event_DI
2013-01-10,0,73
2013-07-22,32,45
2013-01-16,0,257
2013-01-17,0,249
2013-01-14,0,182
2013-07-26,102,99
2013-07-29,69,90
2013-07-28,43,42
2013-01-18,0,299
2013-01-19,0,376
2013-03-29,0,33
2013-03-28,0,28
2013-03-25,0,19
2013-03-24,0,12
2013-03-27,0,23
2013-03-26,0,27
2013-03-21,0,21
2013-03-20,0,29
2013-03-23,0,12
2013-03-22,0,17
2013-06-17,43,43
2013-06-16,24,23
2013-06-15,21,25
2013-06-14,30,31
2013-06-13,25,36
2013-06-12,41,41
2013-06-11,38,40
2013-06-10,51,50
2013-06-19,30,38
2013-06-18,44,30
2012-09-26,231,84
2013-02-12,0,54
2013-02-11,0,21
2012-09-25,194,71
2012-09-22,139,63
2012-09-23,153,44
2012-09-20,229,92
2013-02-14,1,64
2013-02-19,0,31
2013-02-18,0,34
2012-09-28,191,69
2012-09-29,137,50
2012-12-27,0,74
2013-08-19,41,56
2013-08-18,18,34
2013-08-15,33,42
2013-08-14,21,28
2013-08-17,35,41
2013-08-16,39,38
2013-08-11,16,31
2013-08-10,18,34
2013-08-13,45,51
2013-08-12,41,43
2012-08-18,506,247
2012-08-19,314,137
2012-08-14,268,119
2012-08-15,213,87
2012-08-16,587,163
2012-08-17,754,333
2012-08-10,131,47
2012-08-11,131,56
2012-08-12,369,110
2012-08-13,676,292
2012-12-24,0,52
2012-12-31,0,50
2012-12-30,0,27
2013-05-05,25,28
2013-05-04,32,33
2013-05-07,27,30
2013-05-06,47,46
2013-05-01,44,37
2013-05-03,42,46
2013-05-02,48,45
2013-05-09,34,41
2013-05-08,55,47
2013-02-22,1,145
2012-10-28,228,313
2012-10-29,343,502
2012-10-24,422,484
2012-10-25,336,414
2012-10-26,256,351
2012-10-27,170,255
2012-10-20,362,432
2012-10-21,535,729
2012-10-22,818,1230
2012-10-23,477,867
2013-06-28,25,23
2013-06-29,24,32
2013-06-26,40,32
2013-06-27,33,34
2013-06-24,43,44
2013-06-25,42,40
2013-06-22,43,34
2013-06-23,26,38
2013-06-20,40,44
2013-06-21,41,35
2013-02-28,0,32
2012-11-30,75,99
2013-02-23,0,30
2013-02-20,0,55
2013-02-21,0,87
2013-02-26,1,43
2013-02-27,0,28
2013-02-24,0,39
2013-02-25,0,41
