Country,registered,viewed,explored,certified,grade,nevents,ndays_act,nplay_video,nchapters,nforum_posts,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Canada,295.0,147.0,4.0,2.0,2.77,59976.0,1062.0,7639.0,470.0,0.0,1.0,0.498305084746,0.0135593220339,0.00677966101695,0.0124215246637,236.125984252,3.66206896552,56.1691176471,3.15436241611,0.0
Other South Asia,361.0,181.0,18.0,13.0,11.43,108960.0,1875.0,16843.0,784.0,0.0,1.0,0.501385041551,0.0498614958449,0.0360110803324,0.0386148648649,348.115015974,5.28169014085,107.967948718,4.28415300546,0.0
Bangladesh,221.0,87.0,3.0,2.0,2.12,34177.0,783.0,5271.0,277.0,0.0,1.0,0.393665158371,0.0135746606335,0.00904977375566,0.0107614213198,198.703488372,3.57534246575,87.85,3.11235955056,0.0
Other South America,432.0,221.0,13.0,11.0,10.83,120541.0,2081.0,16667.0,859.0,0.0,1.0,0.511574074074,0.0300925925926,0.025462962963,0.0291913746631,324.908355795,4.88497652582,85.0357142857,3.80088495575,0.0
France,88.0,44.0,8.0,4.0,4.08,43256.0,605.0,5478.0,263.0,0.0,1.0,0.5,0.0909090909091,0.0454545454545,0.0566666666667,561.766233766,7.11764705882,133.609756098,5.71739130435,0.0
Nigeria,142.0,64.0,1.0,0.0,0.25,25400.0,556.0,5029.0,227.0,0.0,1.0,0.450704225352,0.00704225352113,0.0,0.00227272727273,217.094017094,4.21212121212,93.1296296296,3.60317460317,0.0
Other Oceania,10.0,8.0,0.0,0.0,0.0,321.0,41.0,32.0,19.0,0.0,1.0,0.8,0.0,0.0,0.0,35.6666666667,4.1,5.33333333333,2.375,0.0
Other Europe,1276.0,697.0,53.0,35.0,38.7,482094.0,6793.0,71108.0,2894.0,0.0,1.0,0.546238244514,0.0415360501567,0.0274294670846,0.0388944723618,452.245778612,5.5137987013,111.10625,4.02503477051,0.0
Other East Asia,200.0,96.0,2.0,1.0,1.6,42454.0,823.0,6488.0,337.0,0.0,1.0,0.48,0.01,0.005,0.0104575163399,273.896774194,4.22051282051,73.7272727273,3.4387755102,0.0
"Other North & Central Amer., Caribbean",123.0,54.0,6.0,6.0,5.77,34247.0,660.0,3988.0,254.0,0.0,1.0,0.439024390244,0.0487804878049,0.0487804878049,0.056568627451,339.079207921,5.54621848739,83.0833333333,4.37931034483,0.0
