Country,registered,viewed,explored,certified,grade,nevents,ndays_act,nplay_video,nchapters,nforum_posts,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Canada,246.0,110.0,10.0,8.0,7.9,80654.0,1029.0,8183.0,338.0,0.0,1.0,0.447154471545,0.0406504065041,0.0325203252033,0.0401015228426,344.675213675,4.2875,81.83,3.07272727273,0.0
Other South Asia,284.0,143.0,19.0,11.0,13.22,143264.0,1571.0,18676.0,515.0,0.0,1.0,0.503521126761,0.0669014084507,0.0387323943662,0.0560169491525,526.705882353,5.63082437276,150.612903226,3.62676056338,0.0
Bangladesh,25.0,12.0,0.0,0.0,0.15,2405.0,69.0,153.0,26.0,0.0,1.0,0.48,0.0,0.0,0.006,104.565217391,2.875,38.25,2.16666666667,0.0
Other South America,230.0,141.0,13.0,11.0,12.36,122875.0,1321.0,15055.0,469.0,0.0,1.0,0.613043478261,0.0565217391304,0.0478260869565,0.0537391304348,555.995475113,5.81938325991,119.484126984,3.35,0.0
France,76.0,46.0,4.0,1.0,1.55,29104.0,386.0,3741.0,154.0,0.0,1.0,0.605263157895,0.0526315789474,0.0131578947368,0.0276785714286,398.684931507,5.14666666667,93.525,3.34782608696,0.0
Nigeria,133.0,64.0,9.0,5.0,5.35,54760.0,696.0,6791.0,224.0,0.0,1.0,0.481203007519,0.0676691729323,0.0375939849624,0.0477678571429,427.8125,5.35384615385,141.479166667,3.5,0.0
Other Europe,881.0,535.0,87.0,63.0,65.37,786033.0,6978.0,100785.0,2220.0,11.0,1.0,0.607264472191,0.0987514188422,0.0715096481271,0.0758352668213,924.744705882,8.04844290657,206.104294479,4.17293233083,0.0124858115778
Other East Asia,90.0,45.0,4.0,1.0,1.81,29346.0,285.0,1965.0,125.0,0.0,1.0,0.5,0.0444444444444,0.0111111111111,0.0317543859649,341.23255814,3.16666666667,54.5833333333,2.71739130435,0.0
"Other North & Central Amer., Caribbean",181.0,140.0,44.0,36.0,40.05,150464.0,1575.0,11243.0,780.0,0.0,1.0,0.773480662983,0.243093922652,0.198895027624,0.221270718232,845.303370787,8.84831460674,100.383928571,5.61151079137,0.0
Australia,157.0,66.0,5.0,3.0,4.93,58716.0,670.0,8212.0,229.0,0.0,1.0,0.420382165605,0.031847133758,0.0191082802548,0.0376335877863,407.75,4.43708609272,141.586206897,3.52307692308,0.0
Germany,173.0,107.0,13.0,12.0,11.35,105993.0,1052.0,10472.0,368.0,0.0,1.0,0.618497109827,0.0751445086705,0.0693641618497,0.0679640718563,646.298780488,6.33734939759,105.777777778,3.47169811321,0.0
Russian Federation,383.0,188.0,51.0,41.0,41.43,418573.0,3585.0,45494.0,1029.0,0.0,1.0,0.490861618799,0.13315926893,0.107049608355,0.109603174603,1159.48199446,9.58556149733,264.5,5.56216216216,0.0
China,29.0,16.0,2.0,0.0,0.49,4217.0,106.0,208.0,42.0,0.0,1.0,0.551724137931,0.0689655172414,0.0,0.0168965517241,156.185185185,3.78571428571,52.0,2.47058823529,0.0
Philippines,150.0,85.0,10.0,5.0,6.83,59514.0,727.0,5877.0,275.0,0.0,1.0,0.566666666667,0.0666666666667,0.0333333333333,0.0480985915493,416.181818182,4.97945205479,76.3246753247,3.23529411765,0.0
Spain,418.0,290.0,84.0,75.0,73.06,699106.0,4842.0,83728.0,1659.0,5.0,1.0,0.693779904306,0.200956937799,0.179425837321,0.174784688995,1730.46039604,11.7524271845,330.940711462,5.76041666667,0.011961722488
Ukraine,45.0,28.0,5.0,4.0,4.16,50998.0,399.0,6546.0,122.0,0.0,1.0,0.622222222222,0.111111111111,0.0888888888889,0.104,1186.0,9.27906976744,284.608695652,4.35714285714,0.0
Poland,67.0,50.0,16.0,14.0,14.27,128735.0,890.0,12489.0,342.0,0.0,1.0,0.746268656716,0.238805970149,0.208955223881,0.212985074627,2043.41269841,13.6923076923,277.533333333,6.97959183673,0.0
Indonesia,64.0,25.0,0.0,0.0,0.21,3480.0,101.0,426.0,45.0,0.0,1.0,0.390625,0.0,0.0,0.0175,57.0491803279,1.65573770492,26.625,1.95652173913,0.0
United States,5175.0,2441.0,204.0,127.0,144.36,2145613.0,23797.0,253711.0,7277.0,81.0,1.0,0.471690821256,0.0394202898551,0.0245410628019,0.0285296442688,441.12109375,4.80456289118,115.42811647,3.00330169212,0.015652173913
Morocco,106.0,35.0,0.0,0.0,0.12,2843.0,159.0,218.0,65.0,0.0,1.0,0.330188679245,0.0,0.0,0.00324324324324,26.820754717,1.5,8.38461538462,2.16666666667,0.0
Unknown/Other,393.0,28.0,3.0,0.0,0.86,5405.0,144.0,446.0,75.0,0.0,1.0,0.0712468193384,0.00763358778626,0.0,0.00593103448276,103.942307692,2.71698113208,55.75,2.67857142857,0.0
Other Africa,347.0,159.0,18.0,7.0,9.7,109198.0,1444.0,10773.0,518.0,0.0,1.0,0.458213256484,0.0518731988473,0.0201729106628,0.0298461538462,325.964179104,4.23460410557,84.1640625,3.27848101266,0.0
Brazil,707.0,371.0,39.0,31.0,31.09,343306.0,3757.0,46580.0,1206.0,0.0,1.0,0.524752475248,0.0551626591231,0.043847241867,0.0464723467862,510.112927192,5.47667638484,143.323076923,3.31318681319,0.0
Pakistan,265.0,134.0,4.0,2.0,3.79,35582.0,689.0,334.0,311.0,0.0,1.0,0.505660377358,0.0150943396226,0.00754716981132,0.0166228070175,143.475806452,2.69140625,17.5789473684,2.37404580153,0.0
Portugal,24.0,13.0,1.0,1.0,1.04,8560.0,165.0,945.0,44.0,0.0,1.0,0.541666666667,0.0416666666667,0.0416666666667,0.0433333333333,356.666666667,6.875,72.6923076923,3.38461538462,0.0
