Country,registered,viewed,explored,certified,grade,nevents,ndays_act,nplay_video,nchapters,nforum_posts,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Canada,443.0,293.0,27.0,13.0,15.1,222224.0,2538.0,30560.0,1015.0,6.0,1.0,0.661399548533,0.0609480812641,0.0293453724605,0.0436416184971,547.349753695,6.01421800948,127.333333333,3.80149812734,0.0135440180587
Other South Asia,765.0,476.0,40.0,20.0,24.06,210870.0,3529.0,24868.0,1617.0,0.0,1.0,0.622222222222,0.0522875816993,0.0261437908497,0.041269296741,287.680763984,4.70533333333,65.4421052632,3.55384615385,0.0
Bangladesh,305.0,193.0,8.0,0.0,1.95,46134.0,992.0,4738.0,478.0,0.0,1.0,0.632786885246,0.0262295081967,0.0,0.00855263157895,165.35483871,3.36271186441,49.8736842105,2.74712643678,0.0
Other South America,826.0,573.0,56.0,28.0,38.24,412949.0,5431.0,64741.0,2166.0,17.0,1.0,0.693704600484,0.0677966101695,0.0338983050847,0.0561527165932,527.393358876,6.74658385093,131.587398374,4.12571428571,0.0205811138015
France,215.0,149.0,20.0,10.0,11.07,130577.0,1418.0,19789.0,659.0,0.0,1.0,0.693023255814,0.093023255814,0.046511627907,0.0679141104294,643.236453202,6.81730769231,151.061068702,4.57638888889,0.0
Other East Asia,339.0,233.0,17.0,7.0,7.93,121266.0,1778.0,25014.0,768.0,0.0,1.0,0.687315634218,0.0501474926254,0.0206489675516,0.0402538071066,397.593442623,5.30746268657,131.652631579,3.35371179039,0.0
Other Oceania,12.0,8.0,1.0,1.0,0.79,10071.0,106.0,3581.0,28.0,0.0,1.0,0.666666666667,0.0833333333333,0.0833333333333,0.0718181818182,839.25,8.83333333333,596.833333333,4.66666666667,0.0
Other Europe,2104.0,1520.0,223.0,127.0,144.31,1683367.0,17996.0,252897.0,6612.0,15.0,1.0,0.722433460076,0.105988593156,0.06036121673,0.0866726726727,834.589489341,8.7105517909,191.879362671,4.61087866109,0.00712927756654
Nigeria,340.0,205.0,8.0,5.0,5.09,59800.0,1328.0,8015.0,577.0,0.0,1.0,0.602941176471,0.0235294117647,0.0147058823529,0.0183754512635,184.567901235,3.96417910448,56.4436619718,2.97422680412,0.0
"Other North & Central Amer., Caribbean",317.0,237.0,40.0,32.0,35.45,249314.0,2737.0,27683.0,1060.0,0.0,1.0,0.747634069401,0.1261829653,0.10094637224,0.1270609319,822.818481848,8.91530944625,139.813131313,4.8623853211,0.0
Australia,316.0,177.0,10.0,4.0,6.87,68755.0,1153.0,8824.0,492.0,0.0,1.0,0.560126582278,0.0316455696203,0.0126582278481,0.0261216730038,237.906574394,3.8178807947,62.5815602837,3.23684210526,0.0
Germany,508.0,369.0,45.0,22.0,25.06,345251.0,3529.0,55987.0,1505.0,0.0,1.0,0.726377952756,0.0885826771654,0.0433070866142,0.061724137931,703.15885947,7.08634538153,176.615141956,4.51951951952,0.0
Russian Federation,1114.0,756.0,170.0,111.0,127.96,1426183.0,14258.0,239105.0,4116.0,5.0,1.0,0.678635547576,0.152603231598,0.0996409335727,0.127196819085,1334.12815716,13.0567765568,354.22962963,5.91379310345,0.00448833034111
China,317.0,216.0,8.0,1.0,1.85,34013.0,990.0,3734.0,511.0,0.0,1.0,0.681388012618,0.0252365930599,0.00315457413249,0.0107558139535,115.69047619,3.16293929712,56.5757575758,2.48058252427,0.0
Philippines,265.0,171.0,16.0,7.0,10.9,99357.0,1368.0,10662.0,619.0,0.0,1.0,0.645283018868,0.0603773584906,0.0264150943396,0.0484444444444,392.71541502,5.28185328185,77.8248175182,3.79754601227,0.0
