Country,viewed,explored,certified,grade,events,active days,video play,chapters,forum posts
Canada,0.95,0.01,0.01,0.02,461.22,4.69,101.5,3.27,0.0
Other South Asia,0.93,0.01,0.01,0.01,286.12,4.26,41.78,2.59,0.0
Bangladesh,0.95,0.05,0.0,0.01,184.8,2.75,25.25,3.56,0.0
Other South America,0.96,0.0,0.0,0.01,179.45,3.3,35.38,2.5,0.0
France,1.0,0.03,0.03,0.03,244.19,3.73,29.92,3.33,0.0
Other East Asia,0.92,0.06,0.02,0.02,572.11,4.98,134.03,3.85,0.0
Other Europe,0.96,0.02,0.02,0.03,432.74,5.61,88.97,3.56,0.0
Nigeria,1.0,0.03,0.03,0.08,323.58,5.0,99.91,3.94,0.0
"Other North & Central Amer., Caribbean",1.0,0.09,0.09,0.09,1149.29,11.26,141.19,5.55,0.0
Australia,0.95,0.05,0.03,0.03,512.31,5.38,105.24,3.29,0.0
Germany,0.96,0.0,0.0,0.01,315.07,4.78,56.05,3.0,0.0
Russian Federation,0.98,0.04,0.05,0.06,821.2,8.0,169.32,4.78,0.0
China,0.98,0.02,0.02,0.02,169.43,2.78,47.33,2.89,0.0
Philippines,1.0,0.0,0.0,0.01,50.67,2.42,17.88,2.0,0.0
Spain,1.0,0.05,0.07,0.08,683.56,7.15,117.03,4.41,0.0
Ukraine,1.0,0.0,0.0,0.01,154.46,4.64,38.83,2.82,0.0
Poland,1.0,0.11,0.14,0.23,1284.76,11.43,279.05,5.48,0.0
Indonesia,0.93,0.07,0.0,0.06,860.36,7.21,144.2,5.83,0.0
United States,0.96,0.02,0.01,0.02,323.06,4.29,62.98,2.95,0.0
Morocco,0.83,0.06,0.06,0.07,438.07,4.18,36.0,3.8,0.0
Unknown/Other,0.85,0.01,0.0,0.0,420.29,4.73,9.75,1.79,0.0
Other Africa,0.99,0.01,0.01,0.01,188.7,3.5,60.4,2.77,0.0
Brazil,0.99,0.03,0.03,0.03,550.9,6.04,143.22,3.26,0.0
Pakistan,0.99,0.01,0.0,0.01,267.14,2.84,48.43,2.86,0.0
Portugal,1.0,0.4,0.4,0.46,2298.25,17.4,132.5,9.5,0.0
Mexico,0.96,0.04,0.04,0.06,1112.37,7.26,404.6,4.03,0.0
Egypt,0.94,0.0,0.0,0.01,150.77,3.67,39.08,2.53,0.0
India,0.96,0.02,0.03,0.04,271.48,4.34,38.75,3.25,0.0
Other Middle East/Central Asia,0.96,0.04,0.05,0.05,568.15,6.33,130.47,3.49,0.0
United Kingdom,0.98,0.04,0.03,0.04,566.21,6.41,101.62,3.36,0.0
Colombia,0.95,0.0,0.0,0.02,285.0,4.03,33.31,2.73,0.0
Greece,1.0,0.11,0.11,0.13,1833.75,11.74,222.07,6.33,0.0
Japan,0.98,0.0,0.0,0.01,170.76,3.36,44.05,2.38,0.0
