Country,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
Canada,0.95,0.05,0.02,0.03,581.32,6.09,68.5,3.39,0.01
Other South Asia,0.95,0.04,0.02,0.02,363.46,4.95,55.91,3.22,0.0
Bangladesh,0.95,0.03,0.01,0.01,219.7,3.72,29.02,2.71,0.0
Other South America,0.96,0.05,0.01,0.03,493.48,6.02,78.59,3.33,0.03
France,0.95,0.06,0.02,0.03,525.1,5.78,83.96,3.75,0.0
Other East Asia,0.96,0.04,0.02,0.02,403.74,5.31,62.61,3.26,0.0
Other Oceania,0.94,0.03,0.03,0.02,433.81,5.48,59.73,3.25,0.0
Other Europe,0.95,0.07,0.03,0.05,726.66,7.32,80.46,3.97,0.0
Nigeria,0.96,0.01,0.0,0.0,151.62,3.27,44.1,2.57,0.0
"Other North & Central Amer., Caribbean",0.94,0.03,0.01,0.02,358.2,5.06,62.86,2.91,0.0
Australia,0.94,0.05,0.03,0.04,548.71,6.04,54.04,3.47,0.0
Germany,0.96,0.06,0.03,0.05,695.97,6.87,81.24,3.95,0.0
Russian Federation,0.96,0.12,0.08,0.1,1283.97,12.41,164.57,4.94,0.01
China,0.96,0.02,0.01,0.01,197.87,3.51,35.36,2.6,0.0
Philippines,0.94,0.01,0.01,0.01,245.77,3.32,38.39,2.55,0.0
Spain,0.95,0.1,0.07,0.08,1014.68,9.56,98.18,4.51,0.01
Ukraine,0.97,0.13,0.06,0.08,1181.64,12.22,147.95,4.83,0.0
Poland,0.98,0.13,0.08,0.09,1248.25,10.8,122.96,4.75,0.0
Indonesia,0.96,0.03,0.0,0.01,205.32,3.66,28.71,2.91,0.0
United States,0.95,0.04,0.02,0.03,534.93,5.99,67.78,3.36,0.04
Morocco,0.95,0.01,0.0,0.01,110.76,2.43,24.69,2.54,0.0
Unknown/Other,0.78,0.0,0.0,0.0,337.35,5.0,57.03,1.93,0.0
Other Africa,0.96,0.02,0.01,0.01,206.55,3.71,44.51,2.87,0.01
Brazil,0.96,0.03,0.02,0.02,411.72,5.14,62.69,3.09,0.0
Pakistan,0.94,0.01,0.0,0.0,111.58,2.64,36.38,2.39,0.0
Portugal,0.97,0.1,0.06,0.07,1140.86,9.3,112.36,4.33,0.0
Mexico,0.95,0.05,0.02,0.03,572.15,6.65,74.73,3.49,0.01
Egypt,0.96,0.02,0.01,0.01,233.22,3.85,55.58,2.64,0.0
India,0.94,0.05,0.02,0.03,394.43,5.02,62.54,3.43,0.06
Other Middle East/Central Asia,0.94,0.03,0.01,0.02,312.32,4.44,54.63,3.05,0.0
United Kingdom,0.96,0.04,0.02,0.03,544.45,5.97,65.03,3.39,0.01
Colombia,0.95,0.05,0.03,0.04,832.21,7.3,111.78,3.84,0.07
Greece,0.95,0.06,0.02,0.04,788.09,7.14,104.58,3.75,0.0
Japan,0.96,0.03,0.01,0.02,316.08,4.8,43.62,3.06,0.0
Overall average,0.95,0.05,0.02,0.03,521.35,5.91,69.86,3.35,0.01
