Country,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
Canada,0.63,0.07,0.04,0.05,769.19,7.6,109.15,4.15,0.0
Other South Asia,0.63,0.04,0.02,0.02,393.64,5.51,103.0,3.29,0.0
Bangladesh,0.61,0.04,0.01,0.01,252.11,4.47,76.78,2.98,0.02
Other South America,0.73,0.09,0.05,0.06,937.74,8.17,237.85,4.01,0.03
France,0.7,0.07,0.03,0.04,594.84,6.53,110.67,3.55,0.0
Other East Asia,0.61,0.04,0.02,0.02,418.95,5.4,110.1,3.44,0.0
Other Oceania,0.73,0.05,0.0,0.02,456.18,6.91,61.87,3.8,0.0
Other Europe,0.72,0.11,0.07,0.08,1065.21,10.73,159.06,4.74,0.04
Nigeria,0.64,0.02,0.0,0.01,237.52,4.53,95.84,2.89,0.0
"Other North & Central Amer., Caribbean",0.7,0.05,0.02,0.03,540.8,6.26,101.31,3.29,0.01
Australia,0.53,0.05,0.03,0.04,509.87,6.24,104.31,3.76,0.0
China,0.62,0.03,0.01,0.02,310.51,4.97,135.21,3.02,0.0
Russian Federation,0.66,0.12,0.08,0.08,1135.98,12.11,197.22,4.97,0.03
Germany,0.68,0.09,0.07,0.07,938.62,9.64,126.15,4.56,0.01
Philippines,0.63,0.03,0.01,0.02,328.29,4.47,80.49,2.8,0.0
Spain,0.74,0.17,0.11,0.11,1526.5,14.02,195.99,5.66,0.03
Ukraine,0.69,0.12,0.07,0.08,1058.53,11.25,180.78,4.77,0.0
Poland,0.8,0.19,0.15,0.15,1766.37,16.63,216.48,6.09,0.02
Indonesia,0.62,0.1,0.08,0.06,469.86,5.7,49.68,4.49,0.0
United States,0.61,0.06,0.03,0.04,726.41,7.4,111.9,3.82,0.08
Morocco,0.61,0.01,0.0,0.0,91.97,2.19,28.53,2.39,0.0
Unknown/Other,0.11,0.01,0.0,0.0,229.7,3.88,93.51,2.69,0.0
Other Africa,0.62,0.03,0.01,0.01,256.11,4.43,75.38,2.97,0.01
Brazil,0.61,0.04,0.02,0.02,434.64,5.64,89.69,3.15,0.01
Pakistan,0.53,0.01,0.0,0.01,94.04,2.91,37.26,2.3,0.0
Portugal,0.68,0.06,0.03,0.04,608.01,6.8,87.53,3.74,0.0
Mexico,0.74,0.07,0.03,0.04,671.88,7.76,111.33,3.63,0.03
Egypt,0.47,0.02,0.01,0.01,239.08,3.55,108.62,2.74,0.0
India,0.66,0.06,0.03,0.04,424.92,5.69,79.06,3.58,0.05
Other Middle East/Central Asia,0.56,0.03,0.01,0.01,265.08,4.34,73.65,3.05,0.0
United Kingdom,0.69,0.09,0.05,0.06,915.32,9.27,124.27,4.3,0.06
Colombia,0.68,0.06,0.04,0.04,841.46,8.61,143.09,3.84,0.06
Greece,0.74,0.16,0.12,0.12,1544.52,14.11,193.89,5.57,0.02
Japan,0.75,0.07,0.02,0.04,605.68,7.3,143.76,3.97,0.0
Overall average,0.64,0.07,0.04,0.04,637.05,7.21,116.28,3.76,0.01
