1,1,242,3,5.45,3311.94,0.97,19.94,9525,51937,9212,189946
1,2,106,3,3.97,2324.66,0.96,14.19,9521,37758,9167,135090
1,3,204,3,5.88,3359.38,0.95,19.69,9512,55903,9010,187261
1,4,86,3,9.67,5380.37,0.89,31.24,9507,91919,8454,297013
2,1,92,2,5.86,3390.35,0.93,19.78,9921,58163,9228,196252
2,2,596,2,3.5,2571.61,0.95,14.64,9888,34582,9409,144716
2,3,46,2,9.34,8481.32,0.82,41.99,9862,92151,8040,414058
2,4,601,2,4.46,6576.9,0.87,32.79,9850,43955,8594,322956
2,5,60,2,3.28,6578.14,0.87,32.85,9802,32149,8552,321994
2,6,568,2,3.18,6736.7,0.87,33.47,9777,31063,8521,327204
2,7,39,2,7.14,9638.78,0.81,47.93,9783,69899,7932,468907
3,1,623,2,2.39,2307.25,0.97,11.84,9004,21523,8715,106614
3,2,501,2,6.74,6989.74,0.91,36.16,8982,60540,8138,324806
3,3,629,2,4.09,4765.87,0.9,24.42,8974,36702,8055,219166
3,4,518,2,6.7,7699.9,0.81,37.88,8971,60149,7267,339813
3,5,604,2,5.39,8640.67,0.77,42.55,8954,48301,6904,380997
3,6,517,2,4.92,8723.84,0.79,43.82,8939,44006,7056,391719
4,1,572,2,9.2,5553.44,0.85,29.45,8583,78952,7327,252769
4,2,503,2,4.49,4958.85,0.9,26.73,8553,38381,7708,228643
4,3,567,2,3.8,5181.7,0.91,27.58,8552,32503,7768,235892
5,1,294,2,2.04,1472.7,0.94,7.4,5677,11595,5357,41998
5,2,412,2,2.84,3227.26,0.87,15.74,5645,16044,4920,88857
6,1,181,1,1.63,475.79,1.0,2.49,8770,14310,8731,21822
6,2,79,1,1.82,560.84,0.99,3.08,8770,15935,8717,26980
6,3,199,1,2.02,629.5,0.99,3.62,8769,17692,8706,31731
6,4,73,1,2.19,771.1,0.99,4.33,8770,19225,8685,37993
7,1,599,2,1.96,1146.44,0.96,6.52,4952,9707,4750,32268
7,2,33,2,2.43,2141.98,0.94,11.41,4941,11990,4641,56380
8,1,133,2,2.38,3550.63,0.91,16.52,3885,9246,3539,64175
8,2,630,2,2.96,4073.69,0.87,18.48,3875,11461,3382,71603
8,3,140,2,2.68,4138.9,0.87,18.89,3869,10354,3349,73067
9,1,120,2,1.88,552.9,0.97,3.09,4979,9357,4848,15405
9,2,602,2,1.9,546.47,0.98,3.09,4976,9438,4882,15358
9,3,95,2,2.85,1258.93,0.88,6.82,4924,14013,4320,33602
10,1,405,1,6.2,4546.98,0.92,25.68,9018,55953,8292,231598
10,2,288,1,7.68,5462.38,0.89,31.16,9016,69241,8009,280941
11,1,538,2,3.96,1325.39,0.91,8.92,6988,27681,6362,62307
11,2,418,2,4.22,1952.91,0.89,12.3,6966,29407,6222,85681
12,1,430,2,2.05,1081.28,0.93,5.56,4393,8985,4089,24422
12,2,594,2,2.44,1097.43,0.92,5.87,4372,10650,4019,25653
13,1,317,2,2.56,1885.61,0.92,9.33,5045,12937,4632,47058
13,2,206,2,3.26,3250.96,0.87,15.03,5035,16389,4386,75671
13,3,339,2,2.99,4342.14,0.81,19.12,5033,15040,4079,96231
14,1,187,1,6.39,4852.65,0.9,27.13,9040,57792,8181,245222
14,2,27,1,4.29,4467.86,0.94,24.74,9042,38763,8526,223712
