Country,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Canada,1.0,0.63,0.1,0.04,0.05,663.26,7.97,138.29,4.28,0.05
Other South Asia,1.0,0.62,0.06,0.03,0.03,382.33,5.38,92.75,3.23,0.0
Bangladesh,1.0,0.47,0.0,0.0,0.05,70.15,2.58,18.9,2.3,0.0
Other South America,1.0,0.64,0.04,0.03,0.03,358.49,5.07,78.86,2.94,0.02
France,1.0,0.74,0.16,0.12,0.13,877.83,9.97,133.47,5.69,0.0
Nigeria,1.0,0.52,0.01,0.0,0.02,202.64,4.35,31.12,3.09,0.0
Other Europe,1.0,0.7,0.1,0.07,0.07,817.87,8.6,181.57,4.59,0.06
Other East Asia,1.0,0.58,0.08,0.04,0.04,499.79,6.33,129.8,3.92,0.0
"Other North & Central Amer., Caribbean",1.0,0.57,0.07,0.04,0.05,443.51,5.86,67.2,3.77,0.0
Australia,1.0,0.62,0.06,0.03,0.04,546.09,6.82,112.92,3.58,0.0
Germany,1.0,0.71,0.1,0.04,0.05,746.05,7.9,146.43,4.46,0.02
Russian Federation,1.0,0.67,0.12,0.08,0.08,901.2,11.03,201.02,4.94,0.02
China,1.0,0.66,0.03,0.01,0.02,229.51,4.2,162.84,2.97,0.0
Philippines,1.0,0.55,0.03,0.02,0.02,265.77,3.9,62.39,2.8,0.0
Spain,1.0,0.76,0.16,0.12,0.12,1093.95,11.04,159.31,5.27,0.02
Ukraine,1.0,0.59,0.13,0.06,0.08,1107.62,10.08,323.27,5.76,0.0
Poland,1.0,0.71,0.12,0.1,0.1,1038.38,9.97,253.4,5.09,0.0
Indonesia,1.0,0.69,0.08,0.03,0.03,522.95,6.92,106.33,4.12,0.0
United States,1.0,0.64,0.08,0.04,0.04,617.87,7.28,130.55,3.92,0.14
Morocco,1.0,0.53,0.0,0.0,0.0,27.96,1.41,9.75,1.5,0.0
Unknown/Other,1.0,0.06,0.01,0.0,0.01,409.84,5.45,134.88,4.36,0.0
Other Africa,1.0,0.56,0.04,0.02,0.02,336.78,4.89,101.21,3.2,0.0
Brazil,1.0,0.61,0.06,0.03,0.04,459.57,5.82,141.9,3.55,0.0
Pakistan,1.0,0.58,0.05,0.03,0.05,305.88,4.38,17.77,3.4,0.0
Portugal,1.0,0.67,0.18,0.1,0.1,1200.27,10.14,177.47,5.93,0.0
Mexico,1.0,0.63,0.07,0.03,0.04,497.23,5.17,104.66,3.55,0.0
Egypt,1.0,0.6,0.04,0.02,0.03,371.86,4.69,114.41,3.05,0.0
India,1.0,0.68,0.07,0.04,0.04,455.92,5.65,97.17,3.77,0.08
Other Middle East/Central Asia,1.0,0.61,0.05,0.02,0.03,393.79,5.46,99.67,3.49,0.01
United Kingdom,1.0,0.63,0.08,0.04,0.05,601.08,7.43,135.77,4.08,0.04
Colombia,1.0,0.64,0.08,0.04,0.04,579.42,7.21,103.71,4.48,0.05
Greece,1.0,0.71,0.11,0.05,0.09,1001.56,8.99,204.28,4.98,0.0
Japan,1.0,0.69,0.07,0.06,0.05,464.92,6.26,84.35,3.47,0.0
