Country,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Canada,1.0,0.5,0.01,0.01,0.01,236.13,3.66,56.17,3.15,0.0
Other South Asia,1.0,0.5,0.05,0.04,0.04,348.12,5.28,107.97,4.28,0.0
Bangladesh,1.0,0.39,0.01,0.01,0.01,198.7,3.58,87.85,3.11,0.0
Other South America,1.0,0.51,0.03,0.03,0.03,324.91,4.88,85.04,3.8,0.0
France,1.0,0.5,0.09,0.05,0.06,561.77,7.12,133.61,5.72,0.0
Nigeria,1.0,0.45,0.01,0.0,0.0,217.09,4.21,93.13,3.6,0.0
Other Oceania,1.0,0.8,0.0,0.0,0.0,35.67,4.1,5.33,2.38,0.0
Other Europe,1.0,0.55,0.04,0.03,0.04,452.25,5.51,111.11,4.03,0.0
Other East Asia,1.0,0.48,0.01,0.01,0.01,273.9,4.22,73.73,3.44,0.0
"Other North & Central Amer., Caribbean",1.0,0.44,0.05,0.05,0.06,339.08,5.55,83.08,4.38,0.0
Australia,1.0,0.35,0.04,0.01,0.02,313.57,4.03,112.38,4.5,0.0
Germany,1.0,0.56,0.03,0.02,0.02,357.71,4.92,81.74,3.94,0.0
Russian Federation,1.0,0.58,0.09,0.07,0.08,938.5,9.82,286.89,5.27,0.0
China,1.0,0.51,0.04,0.03,0.03,302.4,3.83,104.37,3.37,0.0
Philippines,1.0,0.38,0.04,0.03,0.03,292.18,3.97,92.57,4.57,0.0
Spain,1.0,0.54,0.07,0.05,0.07,812.28,7.54,260.27,4.94,0.0
Ukraine,1.0,0.56,0.11,0.07,0.09,1095.4,10.23,288.97,6.09,0.0
Poland,1.0,0.66,0.14,0.13,0.12,1075.81,10.3,232.08,6.44,0.0
Indonesia,1.0,0.49,0.04,0.03,0.03,394.51,5.18,78.81,3.76,0.0
United States,1.0,0.47,0.03,0.01,0.02,312.38,4.61,82.73,3.62,0.0
Morocco,1.0,0.46,0.03,0.02,0.02,186.55,3.98,66.2,3.62,0.0
Unknown/Other,1.0,0.08,0.01,0.0,0.0,225.09,4.24,55.35,3.88,0.0
Other Africa,1.0,0.45,0.04,0.02,0.02,301.66,4.71,102.19,3.92,0.0
Brazil,1.0,0.52,0.03,0.01,0.02,326.75,5.02,79.99,3.59,0.0
Pakistan,1.0,0.42,0.03,0.01,0.02,138.6,3.42,33.57,3.45,0.0
Portugal,1.0,0.51,0.03,0.03,0.04,382.18,5.95,98.49,4.13,0.0
Mexico,1.0,0.53,0.02,0.01,0.02,258.95,4.32,58.82,3.31,0.0
Egypt,1.0,0.39,0.02,0.01,0.01,147.73,3.16,66.72,3.03,0.0
India,1.0,0.51,0.05,0.04,0.05,343.24,5.02,83.38,4.25,0.02
Other Middle East/Central Asia,1.0,0.46,0.03,0.01,0.01,168.23,3.54,58.36,3.51,0.0
United Kingdom,1.0,0.5,0.03,0.02,0.03,361.84,5.21,81.33,3.69,0.01
Colombia,1.0,0.54,0.08,0.04,0.06,669.06,6.57,158.32,4.78,0.0
Greece,1.0,0.53,0.05,0.02,0.03,656.5,6.34,199.63,4.13,0.0
Japan,1.0,0.58,0.04,0.0,0.02,356.24,6.13,37.71,4.21,0.0
